LeadId,Title,Industry,Employees,TimeZone,Stage,CreatedDate,OwnerEmployeeId,ConvertedOpportunityId,LeadSource,DisqualifiedReason
152,C - Level,Health Care Providers & Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
153,,Banking,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
154,Manager,Internet Software & Services,50,,Disqualified,20210105,3,,Purchased List,Abandoned
155,Manager,Non-profit,550,EST,Disqualified,20210105,1,,Purchased List,Abandoned
156,Director,Professional Services,50,,Disqualified,20210105,2,,Purchased List,Wrong Contact
157,Manager,Electric Utilities,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
158,HR Generalist,Technology,,EST,Disqualified,20210105,1,,Purchased List,Abandoned
159,C - Level,Food Products,50,MST,Disqualified,20210105,4,,Purchased List,Abandoned
160,entrepreneurship - owner,Internet Software & Services,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
161,C - Level,Professional Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
162,Director,,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
163,Student / Intern,Internet Software & Services,250,EST,Disqualified,20210105,4,,Purchased List,Abandoned
164,,Consumer Discretionary,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
165,,Advertising & Marketing,3550,PST,Disqualified,20210105,3,,Purchased List,Abandoned
166,,Internet Software & Services,350,PST,Disqualified,20210105,2,,Purchased List,Abandoned
167,Staff,"Textiles, Apparel & Luxury Goods",50,EST,Disqualified,20210105,3,,Purchased List,Not Interested
168,President,Specialty Retail,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
169,Owner,Professional Services,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
170,Manager,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
171,owner,Distributors,150,PST,Disqualified,20210105,2,,Purchased List,Abandoned
172,C - Level,Media,250,EST,Disqualified,20210105,1,,Purchased List,Abandoned
173,Director,Health Care Providers & Services,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
174,C - Level,Retail,50,MST,Disqualified,20210105,1,,Purchased List,Abandoned
175,information_technology - cxo,Diversified Financial Services,50,,Disqualified,20210105,3,,Purchased List,Abandoned
176,,Retailing,50,MST,Disqualified,20210105,1,,Purchased List,Abandoned
177,,Air Freight & Logistics,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
178,Creative Director,Consumer Discretionary,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
179,,Entertainment & Media,450,EST,Disqualified,20210105,1,,Purchased List,Abandoned
180,Manager,,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
181,,advertising_&_marketing,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
182,consulting - owner,Media,150,EST,Disqualified,20210105,1,,Purchased List,Abandoned
183,Manager,Professional Services,350,PST,Disqualified,20210105,2,,Purchased List,Abandoned
184,Consultant,Consumer Discretionary,150,MST,Disqualified,20210105,2,,Purchased List,Abandoned
185,Director,Internet Software & Services,,PST,Disqualified,20210105,3,,Purchased List,Abandoned
186,SVP / VP,Internet Software & Services,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
187,Director,Education Services,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
188,,Renewable Electricity,50,CST,Disqualified,20210105,3,,Purchased List,Abandoned
189,owner,Retail,150,CST,Disqualified,20210105,5,,Purchased List,Abandoned
190,Director,Advertising & Marketing,250,PST,Disqualified,20210105,3,,Purchased List,Abandoned
191,,Professional Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
192,,Professional Services,50,CST,Disqualified,20210105,3,,Purchased List,Abandoned
193,C - Level,Business Services,450,EST,Disqualified,20210105,3,,Purchased List,Abandoned
194,C - Level,Internet Software & Services,50,EST,Disqualified,20210105,4,,Purchased List,Not Interested
195,Staff,Retailing,50,CST,Disqualified,20210105,5,,Purchased List,Abandoned
196,Director,Professional Services,350,EST,Disqualified,20210105,3,,Purchased List,Abandoned
197,,Professional Services,550,EST,Disqualified,20210105,4,,Purchased List,Unsubscribed/Do Not Call
198,C - Level,Education Services,50,,Disqualified,20210105,3,,Purchased List,Abandoned
199,Manager,Consumer Staples,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
200,Director,Advertising & Marketing,550,PST,Disqualified,20210105,1,,Purchased List,Abandoned
201,Owner,,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
202,,Media,150,MST,Disqualified,20210105,1,,Purchased List,Abandoned
203,Business Owner,Advertising & Marketing,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
204,C - Level,Technology,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
205,General Manager,Consumer Discretionary,50,CST,Disqualified,20210105,1,,Purchased List,Abandoned
206,C - Level,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Unsubscribed/Do Not Call
207,,Internet Software & Services,150,EST,Disqualified,20210105,5,,Purchased List,Abandoned
208,,Internet Software & Services,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
209,Director,,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
210,Product Manager,Agency,,PST,Disqualified,20210105,1,,Purchased List,Abandoned
211,Staff,Education,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
212,Marketing Manager,Entertainment & Media,50,CST,Disqualified,20210105,5,,Purchased List,Not Interested
213,Staff,"Hotels, Restaurants & Leisure",50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
214,C - Level,Consumer Goods,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
215,C - Level,Non-profit,50,MST,Disqualified,20210105,5,,Purchased List,Not Interested
216,Director,Internet Software & Services,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
217,,Consumer Goods,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
218,C - Level,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
219,Staff,Consumer Discretionary,5050,EST,Disqualified,20210105,1,,Purchased List,Abandoned
220,,Consumer Discretionary,50,CST,Disqualified,20210105,5,,Purchased List,Not Interested
221,"Director, Information Technology",Consumer Goods,450,EST,Disqualified,20210105,3,,Purchased List,Abandoned
222,C - Level,Automotive,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
223,Owner,"Hotels, Restaurants & Leisure",50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
224,"Director, Information Technology",Technology,150,CST,Disqualified,20210105,1,,Purchased List,Abandoned
225,other - owner,Retail,150,EST,Disqualified,20210105,1,,Purchased List,Not Interested
226,Director,Media,50,CST,Disqualified,20210105,1,,Purchased List,Abandoned
227,Staff,Internet Software & Services,250,CST,Disqualified,20210105,3,,Purchased List,Abandoned
228,Staff,Retail,350,PST,Disqualified,20210105,1,,Purchased List,Abandoned
229,Manager,Capital Markets,150,EST,Disqualified,20210105,5,,Purchased List,Abandoned
230,C - Level,Internet Software & Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
231,Administrator,Internet Software & Services,50,CST,Disqualified,20210105,4,,Purchased List,Abandoned
232,President,Internet Software & Services,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
233,General Manager,Consumer Discretionary,150,PST,Disqualified,20210105,4,,Purchased List,Not Interested
234,Director,Internet Software & Services,250,EST,Disqualified,20210105,4,,Purchased List,Abandoned
235,Communications Coordinator,Technology,,EST,Disqualified,20210105,4,,Purchased List,Abandoned
236,,Internet Software & Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
237,C - Level,Consumer Staples,50,PST,Disqualified,20210105,5,,Purchased List,Wrong Contact
238,C - Level,Food Products,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
239,President (title),Media,,EST,Disqualified,20210105,5,,Purchased List,Abandoned
240,Manager,Entertainment & Media,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
241,Marketing DIrector,CPG,50,CST,Disqualified,20210105,5,,Purchased List,Not Interested
242,Director,Consumer Staples,250,MST,Disqualified,20210105,4,,Purchased List,Wrong Contact
243,Staff,Professional Services,250,,Disqualified,20210105,1,,Purchased List,Abandoned
244,Director,Organizations & Associations,50,CST,Disqualified,20210105,5,,Purchased List,Abandoned
245,C - Level,Health Care Providers & Services,50,PST,Disqualified,20210105,4,,Purchased List,Unsubscribed/Do Not Call
246,Director,Advertising & Marketing,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
247,Director,,550,CST,Disqualified,20210105,1,,Purchased List,Bad Email
248,President,Consumer Staples,150,PST,Disqualified,20210105,4,,Purchased List,Abandoned
249,Chief Operations Officer,Internet Software & Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
250,Manager,Business Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
251,CIO,Entertainment & Media,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
252,Director,Consumer Goods,250,CST,Disqualified,20210105,1,,Purchased List,Abandoned
253,"Director, Recruiting",Household Durables,50,EST,Disqualified,20210105,5,,Purchased List,Not Interested
254,Staff,Internet Software & Services,250,EST,Disqualified,20210105,4,,Purchased List,Abandoned
255,C - Level,Health Care Providers & Services,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
256,C - Level,Retail,50,MST,Disqualified,20210105,2,,Purchased List,Abandoned
257,Manager,Professional Services,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
258,Director,Internet Software & Services,1550,EST,Disqualified,20210105,5,,Purchased List,Abandoned
259,Manager,Media,250,EST,Disqualified,20210105,4,,Purchased List,Abandoned
260,,Other,150,EST,Disqualified,20210105,1,,Purchased List,Abandoned
261,C - Level,Entertainment & Media,,CST,Disqualified,20210105,4,,Purchased List,Not Interested
262,Manager,Consumer Staples,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
263,"Director, Operations",Electrical Equipment,150,MST,Disqualified,20210105,4,,Purchased List,Abandoned
264,,"Textiles, Apparel & Luxury Goods",50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
265,Designer,Professional Services,,PST,Disqualified,20210105,4,,Purchased List,Unsubscribed/Do Not Call
266,,,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
267,Manager,Health Care Providers & Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
268,Manager,Advertising & Marketing,150,EST,Disqualified,20210105,1,,Purchased List,Abandoned
269,Vice President and General Manager,Food Products,150,CST,Disqualified,20210105,3,,Purchased List,Bad Email
270,CEO,Business Services,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
271,Manager,Internet Software & Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
272,Director,Automotive,150,PST,Disqualified,20210105,5,,Purchased List,Abandoned
273,Director,Financial Services,50,EST,Disqualified,20210105,1,,Purchased List,Bad Email
274,"Director, Human Resources",Retail,350,,Disqualified,20210105,1,,Purchased List,Abandoned
275,Example-Job-title,Media & Entertainment,15050,PST,Disqualified,20210105,5,,Purchased List,Abandoned
276,,Consumer Staples,3850,EST,Disqualified,20210105,3,,Purchased List,Abandoned
277,,Professional Services,350,,Disqualified,20210105,3,,Purchased List,Not Interested
278,Chief operating officer,TELECOM,150,PST,Disqualified,20210105,3,,Purchased List,Wrong Contact
279,Director,Government & Politics,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
280,,Consumer Discretionary,150,CST,Disqualified,20210105,1,,Purchased List,Abandoned
281,,Retail,50,CST,Disqualified,20210105,1,,Purchased List,Abandoned
282,,Household Durables,150,PST,Disqualified,20210105,1,,Purchased List,Abandoned
283,Executive Director,Hospitality,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
284,,Automotive,50,EST,Disqualified,20210105,2,,Purchased List,Unsubscribed/Do Not Call
285,Project Manager,Entertainment,50,PST,Disqualified,20210105,2,,Purchased List,Unsubscribed/Do Not Call
286,Manager,Internet Software & Services,5050,PST,Disqualified,20210105,2,,Purchased List,Abandoned
287,Staff,Business Services,350,MST,Disqualified,20210105,5,,Purchased List,Abandoned
288,,Consumer Discretionary,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
289,,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Wrong Contact
290,C - Level,,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
291,Owner,,50,EST,Disqualified,20210105,5,,Purchased List,Unsubscribed/Do Not Call
292,,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
293,General Manager,Technology,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
294,Staff,Entertainment & Media,550,EST,Disqualified,20210105,5,,Purchased List,Abandoned
295,Student / Intern,Internet Software & Services,50,MST,Disqualified,20210105,5,,Purchased List,Abandoned
296,Managing Partner,Food Products,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
297,Manager,Distributors,150,PST,Disqualified,20210105,5,,Purchased List,Abandoned
298,Chief operating officer,Education Services,150,,Disqualified,20210105,5,,Purchased List,Abandoned
299,C - Level,Media,50,CST,Disqualified,20210105,5,,Purchased List,Abandoned
300,Manager,Financial Services,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
301,Co-founder,Internet Software & Services,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
302,,HEALTH_BEAUTY,50,MST,Disqualified,20210105,5,,Purchased List,Abandoned
303,Manager,ORG_GENERAL,250,PST,New,20210105,,,Purchased List,
304,,Hospitality,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
305,,Automotive,,EST,Disqualified,20210105,5,,Purchased List,Abandoned
306,Manager,Technology,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
307,owner,Internet Software & Services,150,EST,Disqualified,20210105,4,,Purchased List,Abandoned
308,CEO / Executive Management,Internet Software & Services,50,EST,Disqualified,20210105,5,,Purchased List,Not Interested
309,Director,Professional Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
310,Director,Professional Services,50,CST,Disqualified,20210105,2,,Purchased List,Abandoned
311,"Director, Development",Consumer Discretionary,50,CST,Disqualified,20210105,4,,Purchased List,Abandoned
312,,Gaming,4250,EST,Disqualified,20210105,4,,Purchased List,Abandoned
313,C - Level,Technology,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
314,Owner,Internet Software & Services,50,CST,Disqualified,20210105,1,,Purchased List,Abandoned
315,Manager,Real Estate,50,CST,Disqualified,20210105,5,,Purchased List,Abandoned
316,,Entertainment & Media,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
317,C - Level,Technology,50,EST,Disqualified,20210105,4,,Purchased List,Not Interested
318,Example-Job-title,Education,15050,EST,Disqualified,20210105,5,,Purchased List,Abandoned
319,business_development - director,Professional Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
